region,disasterNumber,sandyDisaster,disasterType,incidentType,declarationDate,stateAbbreviation,state,county,applicantName,pnpStatus,damageCategoryCode,federalShareObligated,dateObligated,pwNumber,projectTitle,versionNumber,id
6,4721,0,DR,Severe Storm,2023-07-19T00:00:00.000Z,OK,Oklahoma,Tulsa,TULSA AIRPORTS IMPROVEMENT TRUST,0,E - Public Buildings,19928.25,2023-11-09T21:24:53.000Z,5,730841 - TAIT Garage Door,0,7fe8ebae-f763-4add-acca-58c1dfb2400f
6,4721,0,DR,Severe Storm,2023-07-19T00:00:00.000Z,OK,Oklahoma,Tulsa,SAND SPRINGS,0,C - Roads and Bridges,7848.75,2023-11-09T21:26:49.000Z,7,736217 - RiverWest Roadside Sign,0,97b07775-9564-4532-8b91-0460cde5b949
9,4482,0,DR,Biological,2020-03-22T00:00:00.000Z,CA,California,Tulare,TULARE (COUNTY),0,B - Protective Measures,40081.12,2023-11-11T00:06:22.000Z,2450,697285 - Other Cat B (Testing and other supporting Services),0,ce7969cf-7ecb-4019-8577-d9479ce5f1f0
3,4502,0,DR,Biological,2020-03-29T00:00:00.000Z,DC,District of Columbia,District of Columbia,DC PUBLIC SCHOOL SYSTEM,0,B - Protective Measures,208843.05,2023-11-06T17:35:06.000Z,660,690249 - Custodial Training and Supplies,0,f2f2be86-e897-46fe-8d22-90e92b6d5528
3,4502,0,DR,Biological,2020-03-29T00:00:00.000Z,DC,District of Columbia,District of Columbia,CHILDREN'S HOSPITAL,1,Z - State Management,203157.60,2023-11-06T17:35:20.000Z,501,546310 - Management Costs,1,3db6379c-3e26-4647-9f9c-44dbb0ff460d
3,4502,0,DR,Biological,2020-03-29T00:00:00.000Z,DC,District of Columbia,District of Columbia,CHILDREN'S HOSPITAL,1,B - Protective Measures,14383.62,2023-11-06T17:35:35.000Z,753,730048 - Contracted Services 4,0,57746dbd-bb50-44ed-8ff7-85e17a552cd0
3,4502,0,DR,Biological,2020-03-29T00:00:00.000Z,DC,District of Columbia,District of Columbia,DC GOV'T OFFICE OF CONTRACTING AND PROCUREMENT,0,B - Protective Measures,5698283.68,2023-11-09T13:30:17.000Z,740,727689 - DR4502DC - FY23 OCP - NCS - Project 140,0,ddab534b-9e00-4ba7-9d95-7a571dddacd9
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Seminole,SEMINOLE COMMUNITY COLLEGE,0,E - Public Buildings,8159.40,2023-11-06T16:25:47.000Z,1454,703063 - Student Center Building,0,6c777c2f-a8b3-40b9-a430-0175c0dd9569
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Seminole,LONGWOOD,0,B - Protective Measures,239771.66,2023-11-09T18:25:29.000Z,1177,690307 - APP CERT - Emergency Protective Measures,0,bf4ebf5c-089d-44a9-b48c-7e9e84000719
4,4673,0,DR,Hurricane,2022-09-29T00:00:00.000Z,FL,Florida,Seminole,"CENTRAL FLORIDA ZOOLOGICAL SOCIETY, INC.",1,Z - State Management,1040.83,2023-11-09T18:39:48.000Z,1453,736445 - Cat Z,0,ac02db87-898f-4318-a3a8-7f626066fda4
4,4680,0,DR,Hurricane,2022-12-13T00:00:00.000Z,FL,Florida,Seminole,OVIEDO,0,Z - State Management,2916.41,2023-11-09T18:14:35.000Z,143,735137 - Management Costs,0,01d88766-1541-410a-ab6b-42c054c47487
7,4557,0,DR,Severe Storm,2020-08-17T00:00:00.000Z,IA,Iowa,Linn,ST LUKE'S HOSPITAL,1,E - Public Buildings,60224.68,2023-11-06T17:25:30.000Z,804,727803 - APP CERT - Family Medicine Roof Damages,0,c379d855-8340-4ff2-9db3-d4ee98fed1cc
